,Unnamed: 0,m1,m2,p,maxDeg,cull,attempts
221,221,1,3,0.0,10,False,1
223,223,1,3,0.0,20,False,1
225,225,1,3,0.0,30,False,1
226,226,1,3,0.0,50,True,1
227,227,1,3,0.0,50,False,1
228,228,1,3,0.0,70,True,1
229,229,1,3,0.0,70,False,1
231,231,1,3,0.1,10,False,1
233,233,1,3,0.1,20,False,1
235,235,1,3,0.1,30,False,1
237,237,1,3,0.1,50,False,1
238,238,1,3,0.1,70,True,7
239,239,1,3,0.1,70,False,1
241,241,1,3,0.2,10,False,1
243,243,1,3,0.2,20,False,1
245,245,1,3,0.2,30,False,1
247,247,1,3,0.2,50,False,1
248,248,1,3,0.2,70,True,4
249,249,1,3,0.2,70,False,1
251,251,1,3,0.3,10,False,1
253,253,1,3,0.3,20,False,1
255,255,1,3,0.3,30,False,1
257,257,1,3,0.3,50,False,1
258,258,1,3,0.3,70,True,2
259,259,1,3,0.3,70,False,1
261,261,1,3,0.4,10,False,1
263,263,1,3,0.4,20,False,1
265,265,1,3,0.4,30,False,1
267,267,1,3,0.4,50,False,1
268,268,1,3,0.4,70,True,9
269,269,1,3,0.4,70,False,1
271,271,1,3,0.5,10,False,2
273,273,1,3,0.5,20,False,1
275,275,1,3,0.5,30,False,2
277,277,1,3,0.5,50,False,2
278,278,1,3,0.5,70,True,5
279,279,1,3,0.5,70,False,2
331,331,1,4,0.0,10,False,1
332,332,1,4,0.0,20,True,3
333,333,1,4,0.0,20,False,1
334,334,1,4,0.0,30,True,4
335,335,1,4,0.0,30,False,1
336,336,1,4,0.0,50,True,1
337,337,1,4,0.0,50,False,1
338,338,1,4,0.0,70,True,1
339,339,1,4,0.0,70,False,1
341,341,1,4,0.1,10,False,1
343,343,1,4,0.1,20,False,1
345,345,1,4,0.1,30,False,1
347,347,1,4,0.1,50,False,1
349,349,1,4,0.1,70,False,1
351,351,1,4,0.2,10,False,1
353,353,1,4,0.2,20,False,1
355,355,1,4,0.2,30,False,1
357,357,1,4,0.2,50,False,1
359,359,1,4,0.2,70,False,1
361,361,1,4,0.3,10,False,1
363,363,1,4,0.3,20,False,1
365,365,1,4,0.3,30,False,1
367,367,1,4,0.3,50,False,1
369,369,1,4,0.3,70,False,1
371,371,1,4,0.4,10,False,1
373,373,1,4,0.4,20,False,1
375,375,1,4,0.4,30,False,1
377,377,1,4,0.4,50,False,1
379,379,1,4,0.4,70,False,1
381,381,1,4,0.5,10,False,1
383,383,1,4,0.5,20,False,1
385,385,1,4,0.5,30,False,1
387,387,1,4,0.5,50,False,1
388,388,1,4,0.5,70,True,8
389,389,1,4,0.5,70,False,1
391,391,1,4,0.6,10,False,1
393,393,1,4,0.6,20,False,1
395,395,1,4,0.6,30,False,1
397,397,1,4,0.6,50,False,1
399,399,1,4,0.6,70,False,2
441,441,1,5,0.0,10,False,1
442,442,1,5,0.0,20,True,2
443,443,1,5,0.0,20,False,1
444,444,1,5,0.0,30,True,1
445,445,1,5,0.0,30,False,1
446,446,1,5,0.0,50,True,1
447,447,1,5,0.0,50,False,1
448,448,1,5,0.0,70,True,1
449,449,1,5,0.0,70,False,1
451,451,1,5,0.1,10,False,1
453,453,1,5,0.1,20,False,1
455,455,1,5,0.1,30,False,1
457,457,1,5,0.1,50,False,1
459,459,1,5,0.1,70,False,1
461,461,1,5,0.2,10,False,1
463,463,1,5,0.2,20,False,1
465,465,1,5,0.2,30,False,1
467,467,1,5,0.2,50,False,1
469,469,1,5,0.2,70,False,1
471,471,1,5,0.3,10,False,1
473,473,1,5,0.3,20,False,1
475,475,1,5,0.3,30,False,1
477,477,1,5,0.3,50,False,1
479,479,1,5,0.3,70,False,1
481,481,1,5,0.4,10,False,1
483,483,1,5,0.4,20,False,1
485,485,1,5,0.4,30,False,1
487,487,1,5,0.4,50,False,1
489,489,1,5,0.4,70,False,1
491,491,1,5,0.5,10,False,1
493,493,1,5,0.5,20,False,1
495,495,1,5,0.5,30,False,1
497,497,1,5,0.5,50,False,1
499,499,1,5,0.5,70,False,1
501,501,1,5,0.6,10,False,1
503,503,1,5,0.6,20,False,1
505,505,1,5,0.6,30,False,1
507,507,1,5,0.6,50,False,1
508,508,1,5,0.6,70,True,4
509,509,1,5,0.6,70,False,1
511,511,1,5,0.7,10,False,1
513,513,1,5,0.7,20,False,1
515,515,1,5,0.7,30,False,1
517,517,1,5,0.7,50,False,1
518,518,1,5,0.7,70,True,1
519,519,1,5,0.7,70,False,1
552,552,1,6,0.0,20,True,2
554,554,1,6,0.0,30,True,1
556,556,1,6,0.0,50,True,2
558,558,1,6,0.0,70,True,3
571,571,1,6,0.2,10,False,1
573,573,1,6,0.2,20,False,1
